id,location,type,area,price,over-valued (0/1),under-valued (0/1),normal (0/1)
134086,Golden Mile,apartments,157.0,999000,0,0,1
134101,Nagüeles,houses,133.0,799000,1,0,0
134124,Golden Mile,apartments,163.0,980000,0,0,1
134252,Nagüeles,houses,159.0,765000,1,0,0
134273,Nagüeles,houses,284.0,725000,0,1,0
134363,Nagüeles,houses,168.0,595000,0,0,1
134574,Nagüeles,houses,147.0,430000,0,0,1
134581,Nagüeles,houses,170.0,425000,0,1,0
137331,Golden Mile,houses,684.0,1850000,0,1,0
137573,Nagüeles,houses,282.0,470000,0,1,0
137595,Nagüeles,houses,629.0,2500000,1,0,0
138136,Nagüeles,apartments,74.0,191000,0,1,0
138255,Nagüeles,apartments,95.0,287000,0,0,1
138354,Nagüeles,plots,1165.0,350000,0,1,0
138378,Nagüeles,apartments,75.0,375000,1,0,0
138395,Nagüeles,apartments,115.0,390000,0,0,1
138413,Nagüeles,apartments,207.0,400000,0,1,0
138449,Nagüeles,houses,614.0,2850000,1,0,0
138452,Nagüeles,houses,283.0,430000,0,1,0
138523,Nagüeles,houses,368.0,495000,0,1,0
138534,Nagüeles,houses,472.0,1350000,0,0,1
138629,Nagüeles,apartments,90.0,525000,1,0,0
138638,Nagüeles,houses,599.0,1250000,0,1,0
138655,Nagüeles,apartments,312.0,1390000,1,0,0
138682,Golden Mile,apartments,211.0,580000,0,1,0
138731,Golden Mile,apartments,210.0,630000,0,1,0
138768,Nagüeles,apartments,174.0,650000,1,0,0
138771,Golden Mile,apartments,173.0,670000,0,1,0
138856,Nagüeles,houses,210.0,765000,0,0,1
138877,Golden Mile,apartments,120.0,795000,0,0,1
138887,Nagüeles,apartments,241.0,795000,0,0,1
138939,Nagüeles,apartments,240.0,850000,1,0,0
138998,Golden Mile,apartments,211.0,895000,0,1,0
139021,Golden Mile,apartments,300.0,1170000,0,1,0
139025,Nagüeles,apartments,120.0,900000,1,0,0
139050,Nagüeles,houses,641.0,4250000,1,0,0
139068,Golden Mile,houses,775.0,7900000,1,0,0
139074,Golden Mile,apartments,215.0,1100000,0,0,1
139106,Nagüeles,houses,350.0,995000,0,0,1
139113,Nagüeles,houses,267.0,1690000,1,0,0
139155,Nagüeles,apartments,170.0,1096000,1,0,0
139168,Golden Mile,apartments,200.0,1100000,0,0,1
139202,Nagüeles,houses,393.0,1900000,1,0,0
139227,Golden Mile,apartments,317.0,1250000,0,1,0
139235,Golden Mile,apartments,153.0,1250000,1,0,0
139335,Golden Mile,houses,300.0,1400000,0,1,0
139351,Nagüeles,houses,200.0,1250000,1,0,0
139359,Golden Mile,apartments,196.0,1450000,1,0,0
139423,Nagüeles,houses,434.0,1595000,0,0,1
139438,Nagüeles,apartments,113.0,265125,0,1,0
139506,Nagüeles,houses,322.0,1790000,1,0,0
139596,Nagüeles,houses,393.0,2100000,1,0,0
139660,Nagüeles,houses,738.0,2400000,0,0,1
139683,Nagüeles,houses,450.0,2500000,1,0,0
139715,Nagüeles,houses,338.0,2500000,1,0,0
139742,Nagüeles,houses,200.0,595000,0,0,1
139789,Nagüeles,houses,950.0,2900000,0,0,1
139932,Nagüeles,houses,836.0,3745000,1,0,0
139937,Nagüeles,houses,870.0,3995000,1,0,0
140062,Nagüeles,houses,295.0,399000,0,1,0
141963,Nagüeles,houses,290.0,550000,0,1,0
145972,Golden Mile,apartments,229.0,2400000,1,0,0
145997,Golden Mile,apartments,168.0,1100000,0,0,1
146005,Golden Mile,apartments,167.0,895000,0,0,1
146009,Golden Mile,apartments,174.0,799000,0,1,0
146013,Golden Mile,apartments,162.0,775000,0,1,0
146017,Golden Mile,apartments,162.0,750000,0,1,0
146023,Golden Mile,apartments,184.0,670000,0,1,0
146044,Golden Mile,apartments,87.0,475000,0,0,1
146049,Golden Mile,houses,127.0,415000,0,1,0
146054,Golden Mile,apartments,152.0,350000,0,1,0
146056,Golden Mile,apartments,70.0,372000,0,0,1
146062,Nagüeles,apartments,113.0,285000,0,1,0
151180,Nagüeles,apartments,125.0,158000,0,1,0
151353,Nagüeles,apartments,52.0,165000,0,0,1
151636,Nagüeles,apartments,60.0,180000,0,0,1
151665,Nagüeles,apartments,57.0,180000,0,0,1
151772,Nagüeles,apartments,70.0,195000,0,0,1
151820,Nagüeles,apartments,80.0,186000,0,1,0
151877,Nagüeles,apartments,65.0,202500,0,0,1
151924,Nagüeles,apartments,120.0,189500,0,1,0
152035,Nagüeles,apartments,55.0,195000,1,0,0
152047,Nagüeles,apartments,85.0,195000,0,1,0
152200,Nagüeles,apartments,96.0,199000,0,1,0
152743,Nagüeles,apartments,42.0,219900,1,0,0
152783,Nagüeles,apartments,62.0,220000,1,0,0
152821,Nagüeles,apartments,106.0,210000,0,1,0
152896,Nagüeles,apartments,100.0,222000,0,1,0
152999,Nagüeles,apartments,60.0,225000,1,0,0
153017,Nagüeles,apartments,136.0,226000,0,1,0
153021,Nagüeles,apartments,136.0,226000,0,1,0
153280,Nagüeles,houses,115.0,235000,0,1,0
153462,Nagüeles,apartments,139.0,242000,0,1,0
153481,Nagüeles,apartments,90.0,259000,0,0,1
153537,Nagüeles,apartments,80.0,245000,0,0,1
153719,Nagüeles,houses,160.0,250000,0,1,0
153829,Nagüeles,apartments,92.0,244000,0,0,1
153853,Nagüeles,apartments,115.0,252000,0,1,0
153976,Nagüeles,houses,173.0,258000,0,1,0
154035,Nagüeles,apartments,100.0,260000,0,1,0
154072,Nagüeles,apartments,94.0,260000,0,0,1
154161,Nagüeles,apartments,80.0,265000,0,0,1
154192,Nagüeles,apartments,145.0,265000,0,1,0
154247,Nagüeles,apartments,95.0,265000,0,0,1
154566,Nagüeles,apartments,98.0,275000,0,0,1
154969,Nagüeles,apartments,99.0,272000,0,0,1
154978,Nagüeles,apartments,118.0,270000,0,1,0
155018,Nagüeles,apartments,200.0,294000,0,1,0
155145,Nagüeles,apartments,120.0,275000,0,1,0
155257,Nagüeles,apartments,86.0,299000,0,0,1
155265,Nagüeles,apartments,85.0,299000,0,0,1
155277,Nagüeles,apartments,115.0,299000,0,1,0
155289,Nagüeles,houses,200.0,295000,0,1,0
155443,Nagüeles,apartments,97.0,313000,0,0,1
155455,Nagüeles,apartments,115.0,319000,0,0,1
155471,Nagüeles,apartments,140.0,309000,0,1,0
155486,Nagüeles,apartments,120.0,310000,0,1,0
155603,Nagüeles,apartments,194.0,315000,0,1,0
155614,Nagüeles,apartments,166.0,300000,0,1,0
155678,Nagüeles,houses,160.0,318000,0,1,0
155731,Nagüeles,apartments,207.0,320000,0,1,0
156104,Nagüeles,apartments,112.0,269000,0,1,0
156323,Nagüeles,houses,115.0,340000,0,0,1
156348,Nagüeles,apartments,143.0,341000,0,1,0
156410,Nagüeles,apartments,90.0,315000,0,0,1
156440,Nagüeles,houses,131.0,348500,0,1,0
156491,Nagüeles,apartments,95.0,349000,1,0,0
156509,Nagüeles,apartments,93.0,350000,1,0,0
156607,Nagüeles,apartments,94.0,350000,1,0,0
156609,Nagüeles,apartments,150.0,370000,0,1,0
156640,Nagüeles,apartments,120.0,350000,0,0,1
156651,Nagüeles,apartments,110.0,380000,0,0,1
156804,Nagüeles,apartments,178.0,355000,0,1,0
156853,Nagüeles,apartments,107.0,360000,0,0,1
156897,Nagüeles,apartments,115.0,360000,0,0,1
157030,Nagüeles,apartments,120.0,369000,0,0,1
157038,Nagüeles,houses,372.0,369000,0,1,0
157070,Nagüeles,plots,1160.0,370000,0,1,0
157292,Nagüeles,apartments,85.0,275000,0,0,1
157367,Nagüeles,houses,145.0,399000,0,0,1
157379,Nagüeles,houses,187.0,350000,0,1,0
157416,Nagüeles,apartments,150.0,380000,0,1,0
157464,Nagüeles,apartments,124.0,380000,0,0,1
157515,Nagüeles,apartments,95.0,385000,1,0,0
157527,Nagüeles,apartments,127.0,385000,0,0,1
157740,Nagüeles,apartments,120.0,393700,0,0,1
157751,Nagüeles,houses,195.0,395000,0,1,0
157812,Nagüeles,apartments,125.0,395000,0,0,1
157818,Nagüeles,houses,200.0,395000,0,1,0
157873,Nagüeles,houses,220.0,395000,0,1,0
157893,Nagüeles,apartments,112.0,365000,0,0,1
157911,Nagüeles,houses,232.0,395000,0,1,0
157929,Nagüeles,apartments,100.0,395000,1,0,0
158010,Nagüeles,apartments,160.0,370000,0,1,0
158145,Nagüeles,apartments,148.0,410000,0,0,1
158211,Nagüeles,houses,200.0,415000,0,1,0
158334,Nagüeles,houses,204.0,424000,0,1,0
158386,Nagüeles,apartments,160.0,425000,0,0,1
158437,Nagüeles,apartments,170.0,426000,0,1,0
158680,Nagüeles,apartments,152.0,445000,0,0,1
158755,Nagüeles,apartments,216.0,400000,0,1,0
158844,Nagüeles,apartments,185.0,525000,0,0,1
158884,Nagüeles,apartments,130.0,450000,0,0,1
158922,Nagüeles,houses,220.0,451000,0,1,0
158951,Nagüeles,apartments,150.0,456000,0,0,1
159007,Nagüeles,houses,280.0,460000,0,1,0
159047,Nagüeles,houses,356.0,465000,0,1,0
159111,Nagüeles,houses,160.0,470000,0,0,1
159123,Nagüeles,houses,300.0,430000,0,1,0
159169,Nagüeles,houses,256.0,475000,0,1,0
159261,Nagüeles,houses,197.0,475000,0,1,0
159472,Nagüeles,apartments,180.0,490000,0,0,1
159474,Nagüeles,houses,300.0,490000,0,1,0
159516,Nagüeles,houses,177.0,495000,0,0,1
159525,Nagüeles,apartments,180.0,495000,0,0,1
159573,Nagüeles,houses,367.0,495000,0,1,0
159768,Nagüeles,apartments,160.0,500000,0,0,1
159879,Nagüeles,houses,242.0,525000,0,1,0
159889,Nagüeles,apartments,162.0,525000,0,0,1
160068,Nagüeles,apartments,127.0,545000,1,0,0
160070,Nagüeles,apartments,147.0,545000,1,0,0
160132,Nagüeles,apartments,174.0,550000,0,0,1
160239,Nagüeles,apartments,150.0,550000,1,0,0
160243,Nagüeles,apartments,140.0,550000,1,0,0
160292,Nagüeles,houses,306.0,550000,0,1,0
160362,Nagüeles,houses,255.0,560000,0,1,0
160402,Nagüeles,houses,230.0,499000,0,1,0
160414,Nagüeles,houses,230.0,565000,0,1,0
160661,Nagüeles,houses,350.0,590000,0,1,0
160706,Nagüeles,houses,550.0,595000,0,1,0
160737,Nagüeles,houses,300.0,545000,0,1,0
160757,Nagüeles,houses,317.0,595000,0,1,0
160777,Nagüeles,houses,290.0,595000,0,1,0
161012,Nagüeles,apartments,180.0,625000,0,0,1
161193,Nagüeles,houses,343.0,599000,0,1,0
161207,Nagüeles,houses,392.0,585000,0,1,0
161359,Nagüeles,apartments,150.0,650000,1,0,0
161400,Nagüeles,houses,170.0,520000,0,0,1
161471,Nagüeles,apartments,180.0,679000,1,0,0
161702,Nagüeles,apartments,354.0,520000,0,1,0
161944,Nagüeles,apartments,150.0,730000,1,0,0
162119,Nagüeles,houses,235.0,750000,0,0,1
162291,Nagüeles,apartments,150.0,780000,1,0,0
162415,Nagüeles,houses,200.0,795000,1,0,0
162584,Nagüeles,apartments,220.0,800000,1,0,0
162794,Nagüeles,houses,300.0,850000,0,0,1
162903,Nagüeles,apartments,173.0,860000,1,0,0
162955,Nagüeles,apartments,150.0,875000,1,0,0
163012,Nagüeles,houses,603.0,890000,0,1,0
163151,Nagüeles,apartments,366.0,790000,0,1,0
163649,Nagüeles,apartments,385.0,999000,0,1,0
163941,Nagüeles,houses,490.0,1100000,0,1,0
163990,Nagüeles,houses,432.0,1100000,0,1,0
163996,Nagüeles,houses,590.0,1125000,0,1,0
164224,Nagüeles,houses,240.0,1200000,1,0,0
164572,Nagüeles,houses,337.0,1295000,1,0,0
164603,Nagüeles,houses,575.0,1300000,0,1,0
164652,Nagüeles,houses,397.0,1100000,0,0,1
164702,Nagüeles,houses,450.0,1350000,0,0,1
164709,Nagüeles,houses,414.0,1350000,0,0,1
164782,Nagüeles,houses,330.0,1320000,1,0,0
164915,Nagüeles,houses,193.0,1150000,1,0,0
164917,Nagüeles,houses,320.0,1400000,1,0,0
165015,Nagüeles,houses,600.0,1480000,0,1,0
165066,Nagüeles,houses,600.0,1495000,0,1,0
165112,Nagüeles,houses,600.0,1495000,0,1,0
165118,Nagüeles,houses,650.0,1495000,0,1,0
165243,Nagüeles,apartments,202.0,1350000,1,0,0
165269,Nagüeles,houses,750.0,1550000,0,1,0
165356,Nagüeles,houses,434.0,1595000,0,0,1
165373,Nagüeles,houses,434.0,1595000,0,0,1
165377,Nagüeles,houses,557.0,1597000,0,0,1
165651,Nagüeles,houses,850.0,1700000,0,1,0
165675,Nagüeles,houses,509.0,1900000,1,0,0
165779,Nagüeles,houses,500.0,1750000,0,0,1
165799,Nagüeles,houses,406.0,1790000,1,0,0
165898,Nagüeles,houses,400.0,1790000,1,0,0
165912,Nagüeles,houses,322.0,1850000,1,0,0
165914,Nagüeles,plots,2030.0,1690000,1,0,0
165998,Nagüeles,houses,393.0,1898000,1,0,0
166148,Nagüeles,houses,275.0,1950000,1,0,0
166252,Nagüeles,houses,370.0,1995000,1,0,0
166353,Nagüeles,houses,1500.0,2100000,0,1,0
166490,Nagüeles,houses,470.0,2200000,1,0,0
166758,Nagüeles,houses,350.0,1650000,1,0,0
166992,Nagüeles,houses,910.0,2900000,0,0,1
167087,Nagüeles,plots,4278.0,3000000,1,0,0
167108,Nagüeles,houses,1100.0,3000000,0,1,0
167388,Nagüeles,plots,7564.0,3790000,0,0,1
167659,Nagüeles,plots,15500.0,5500000,0,1,0
167665,Nagüeles,houses,1900.0,5500000,0,0,1
167833,Nagüeles,houses,2600.0,10500000,1,0,0
167840,Nagüeles,houses,1137.0,10900000,1,0,0
172910,Nagüeles,apartments,112.0,266000,0,1,0
200791,Golden Mile,apartments,204.0,1695000,1,0,0
213213,Nagüeles,houses,131.0,348500,0,1,0
213283,Nagüeles,houses,350.0,1325000,1,0,0
214938,Nagüeles,plots,5100.0,1490000,0,1,0
218923,Nagüeles,apartments,97.0,275000,0,0,1
218934,Nagüeles,apartments,200.0,420000,0,1,0
229127,Nagüeles,apartments,185.0,390000,0,1,0
229248,Nagüeles,apartments,52.0,165000,0,0,1
229293,Nagüeles,houses,195.0,395000,0,1,0
229369,Nagüeles,apartments,185.0,449000,0,1,0
230347,Nagüeles,apartments,100.0,222000,0,1,0
230409,Nagüeles,apartments,115.0,319000,0,0,1
230421,Nagüeles,apartments,160.0,370000,0,1,0
230460,Nagüeles,apartments,185.0,525000,0,0,1
230485,Nagüeles,apartments,147.0,545000,1,0,0
230556,Nagüeles,apartments,385.0,999000,0,1,0
231195,Nagüeles,apartments,120.0,189500,0,1,0
231389,Nagüeles,houses,230.0,499000,0,1,0
231425,Nagüeles,houses,603.0,890000,0,1,0
231460,Nagüeles,houses,193.0,1150000,1,0,0
233234,Nagüeles,apartments,124.0,380000,0,0,1
237403,Nagüeles,houses,115.0,340000,0,0,1
237516,Nagüeles,houses,310.0,725000,0,1,0
237579,Nagüeles,houses,470.0,2200000,1,0,0
238002,Nagüeles,apartments,62.0,220000,1,0,0
238128,Nagüeles,houses,310.0,725000,0,1,0
238254,Nagüeles,apartments,62.0,220000,1,0,0
238703,Nagüeles,apartments,110.0,380000,0,0,1
238734,Nagüeles,apartments,100.0,395000,1,0,0
238779,Nagüeles,houses,240.0,595000,0,1,0
239317,Nagüeles,houses,240.0,595000,0,1,0
239562,Nagüeles,houses,434.0,1595000,0,0,1
239564,Nagüeles,houses,434.0,1595000,0,0,1
239565,Nagüeles,houses,643.0,1595000,0,1,0
240150,Nagüeles,houses,434.0,1595000,0,0,1
240369,Nagüeles,houses,300.0,430000,0,1,0
241011,Nagüeles,houses,300.0,430000,0,1,0
241024,Nagüeles,houses,643.0,1595000,0,1,0
241749,Nagüeles,apartments,70.0,195000,0,0,1
241882,Nagüeles,apartments,145.0,409500,0,0,1
241962,Nagüeles,apartments,150.0,730000,1,0,0
242244,Nagüeles,apartments,145.0,409500,0,0,1
243443,Nagüeles,houses,149.0,420000,0,0,1
243760,Nagüeles,houses,434.0,1850000,1,0,0
243878,Nagüeles,houses,204.0,490000,0,1,0
243895,Nagüeles,houses,382.0,2950000,1,0,0
244793,Nagüeles,apartments,112.0,365000,0,0,1
245858,Nagüeles,houses,310.0,2730000,1,0,0
245859,Nagüeles,houses,338.0,2580000,1,0,0
245861,Nagüeles,houses,267.0,1690000,1,0,0
245862,Nagüeles,houses,435.0,1390000,0,0,1
245863,Nagüeles,houses,250.0,1250000,1,0,0
245864,Nagüeles,apartments,285.0,750000,0,0,1
245865,Nagüeles,houses,170.0,530000,0,0,1
245866,Nagüeles,apartments,108.0,475000,1,0,0
245867,Nagüeles,apartments,114.0,385000,0,0,1
245868,Nagüeles,apartments,150.0,390000,0,1,0
246013,Nagüeles,apartments,115.0,252000,0,1,0
246104,Nagüeles,houses,204.0,490000,0,1,0
246174,Nagüeles,houses,414.0,1350000,0,0,1
246215,Nagüeles,houses,320.0,1400000,1,0,0
247138,Nagüeles,apartments,166.0,300000,0,1,0
247168,Nagüeles,apartments,180.0,369000,0,1,0
247185,Nagüeles,apartments,152.0,445000,0,0,1
247195,Nagüeles,houses,300.0,430000,0,1,0
247202,Nagüeles,houses,300.0,490000,0,1,0
247210,Nagüeles,houses,190.0,504000,0,1,0
247241,Nagüeles,houses,343.0,599000,0,1,0
249302,Nagüeles,apartments,180.0,369000,0,1,0
249305,Nagüeles,houses,190.0,504000,0,1,0
249919,Nagüeles,houses,300.0,1275000,1,0,0
250570,Nagüeles,apartments,200.0,326000,0,1,0
250605,Nagüeles,houses,337.0,1500000,1,0,0
250614,Nagüeles,houses,600.0,3700000,1,0,0
250920,Nagüeles,houses,470.0,2950000,1,0,0
251423,Nagüeles,houses,282.0,470000,0,1,0
252287,Nagüeles,apartments,102.0,317000,0,0,1
253908,Nagüeles,houses,204.0,330000,0,1,0
253926,Nagüeles,apartments,180.0,483000,0,0,1
254323,Nagüeles,houses,527.0,1495000,0,0,1
254803,Nagüeles,apartments,51.0,197000,1,0,0
254972,Nagüeles,apartments,65.0,202500,0,0,1
255046,Nagüeles,houses,204.0,330000,0,1,0
255060,Nagüeles,apartments,112.0,365000,0,0,1
255078,Nagüeles,apartments,120.0,393700,0,0,1
255199,Nagüeles,houses,1500.0,2100000,0,1,0
256474,Golden Mile,apartments,142.0,875000,0,0,1
256750,Nagüeles,apartments,92.0,175000,0,1,0
256754,Nagüeles,houses,170.0,250000,0,1,0
256776,Nagüeles,houses,240.0,595000,0,1,0
257262,Nagüeles,houses,330.0,450000,0,1,0
257271,Nagüeles,houses,400.0,1150000,0,0,1
257625,Nagüeles,apartments,69.0,315000,1,0,0
259183,Nagüeles,apartments,95.0,350000,1,0,0
259301,Nagüeles,houses,835.0,2900000,0,0,1
260269,Nagüeles,apartments,95.0,350000,1,0,0
260306,Nagüeles,houses,835.0,2900000,0,0,1
260799,Nagüeles,apartments,98.0,275000,0,0,1
261360,Nagüeles,apartments,253.0,1550000,1,0,0
261710,Nagüeles,houses,240.0,399000,0,1,0
261726,Nagüeles,houses,159.0,765000,1,0,0
261863,Nagüeles,apartments,137.0,230000,0,1,0
261950,Nagüeles,apartments,150.0,290000,0,1,0
261951,Nagüeles,apartments,207.0,320000,0,1,0
262012,Nagüeles,houses,195.0,375000,0,1,0
262057,Nagüeles,houses,302.0,385000,0,1,0
262066,Nagüeles,houses,285.0,400000,0,1,0
262125,Nagüeles,houses,132.0,595000,1,0,0
262160,Golden Mile,apartments,186.0,675000,0,1,0
262178,Golden Mile,apartments,157.0,690000,0,1,0
262192,Nagüeles,houses,249.0,765000,0,0,1
262373,Nagüeles,houses,434.0,1595000,0,0,1
262498,Nagüeles,houses,672.0,4500000,1,0,0
262552,Nagüeles,plots,5528.0,2900000,0,0,1
262559,Nagüeles,houses,872.0,2900000,0,0,1
262734,Nagüeles,houses,338.0,2580000,1,0,0
262746,Nagüeles,houses,450.0,2500000,1,0,0
262824,Golden Mile,apartments,200.0,2195000,1,0,0
262944,Nagüeles,houses,405.0,1850000,1,0,0
262961,Nagüeles,houses,322.0,1690000,1,0,0
263001,Nagüeles,houses,434.0,1595000,0,0,1
263020,Nagüeles,houses,527.0,1495000,0,0,1
263057,Golden Mile,apartments,128.0,1350000,1,0,0
263070,Nagüeles,houses,305.0,1275000,1,0,0
263073,Nagüeles,houses,319.0,1250000,1,0,0
263083,Nagüeles,houses,435.9,1390000,0,0,1
263115,Golden Mile,apartments,96.0,1300000,1,0,0
263131,Golden Mile,apartments,157.0,999000,0,0,1
263154,Golden Mile,apartments,163.0,980000,0,0,1
263194,Nagüeles,houses,133.0,799000,1,0,0
263262,Golden Mile,apartments,173.0,820000,0,1,0
263314,Nagüeles,houses,159.0,765000,1,0,0
263337,Nagüeles,houses,470.0,2950000,1,0,0
263367,Nagüeles,houses,284.0,725000,0,1,0
263396,Nagüeles,houses,309.0,695000,0,1,0
263478,Nagüeles,houses,317.51,600000,0,1,0
263512,Nagüeles,houses,310.79,585000,0,1,0
263517,Golden Mile,apartments,163.0,580000,0,1,0
263566,Nagüeles,houses,268.87,549000,0,1,0
263599,Nagüeles,houses,175.0,525000,0,0,1
263612,Nagüeles,apartments,112.41,500000,1,0,0
263656,Nagüeles,houses,198.0,475000,0,1,0
263666,Nagüeles,houses,292.0,430000,0,1,0
263668,Nagüeles,houses,283.0,430000,0,1,0
263757,Nagüeles,plots,1080.0,425000,0,1,0
263777,Golden Mile,apartments,69.0,415000,0,0,1
263807,Nagüeles,houses,170.0,399000,0,1,0
263844,Nagüeles,houses,282.0,470000,0,1,0
263879,Nagüeles,houses,540.0,2500000,1,0,0
263919,Golden Mile,apartments,125.0,345000,0,1,0
264025,Nagüeles,apartments,113.0,277000,0,1,0
264499,Nagüeles,houses,322.0,1150000,0,0,1
265388,Nagüeles,houses,434.0,1595000,0,0,1
266127,Nagüeles,apartments,150.0,500000,0,0,1
266907,Nagüeles,apartments,160.0,495000,0,0,1
266915,Nagüeles,houses,450.0,1325000,0,0,1
268003,Nagüeles,apartments,113.0,265000,0,1,0
269291,Nagüeles,houses,300.0,450000,0,1,0
270735,Nagüeles,houses,451.0,2400000,1,0,0
270762,Nagüeles,houses,548.0,2200000,1,0,0
270866,Golden Mile,apartments,114.0,1700000,1,0,0
270906,Nagüeles,houses,434.0,1595000,0,0,1
271082,Golden Mile,apartments,181.0,1100000,0,0,1
271173,Golden Mile,apartments,100.0,900000,1,0,0
271222,Nagüeles,apartments,173.0,860000,1,0,0
271266,Nagüeles,apartments,173.0,799000,1,0,0
271301,Nagüeles,houses,210.0,765000,0,0,1
271425,Nagüeles,apartments,133.0,625000,1,0,0
271428,Golden Mile,houses,100.0,625000,0,0,1
271606,Nagüeles,houses,347.0,450000,0,1,0
271621,Nagüeles,houses,298.0,430000,0,1,0
271644,Nagüeles,houses,292.0,400000,0,1,0
271645,Nagüeles,houses,292.0,400000,0,1,0
271646,Nagüeles,houses,292.0,470000,0,1,0
271713,Golden Mile,houses,127.0,430000,0,1,0
271715,Nagüeles,houses,282.0,400000,0,1,0
271741,Golden Mile,houses,200.0,415000,0,1,0
271751,Nagüeles,apartments,110.0,404500,1,0,0
271879,Nagüeles,houses,192.0,330000,0,1,0
271921,Golden Mile,houses,58.0,325000,0,0,1
271937,Golden Mile,houses,140.0,320000,0,1,0
272033,Nagüeles,apartments,86.0,285000,0,0,1
272129,Nagüeles,apartments,100.0,245000,0,1,0
325720,Nagüeles,apartments,114.0,430000,1,0,0
326170,Nagüeles,houses,254.0,485000,0,1,0
326728,Nagüeles,houses,290.0,745000,0,1,0
327071,Nagüeles,apartments,130.0,265000,0,1,0
327083,Nagüeles,apartments,85.0,245000,0,0,1
327105,Golden Mile,houses,143.0,265000,0,1,0
327121,Golden Mile,apartments,107.0,315000,0,1,0
327148,Nagüeles,houses,192.0,330000,0,1,0
327150,Golden Mile,apartments,72.0,285000,0,1,0
327155,Nagüeles,apartments,91.0,375000,1,0,0
327225,Nagüeles,houses,283.0,430000,0,1,0
327235,Nagüeles,houses,367.0,495000,0,1,0
327247,Golden Mile,apartments,127.0,525000,0,1,0
327266,Golden Mile,apartments,163.0,580000,0,1,0
327270,Nagüeles,houses,236.0,545000,0,1,0
327297,Golden Mile,apartments,107.0,689000,0,0,1
327331,Nagüeles,houses,159.0,765000,1,0,0
327349,Golden Mile,apartments,164.0,820000,0,0,1
327414,Golden Mile,houses,435.0,1390000,0,1,0
327429,Golden Mile,apartments,110.0,1350000,1,0,0
327447,Nagüeles,houses,639.0,2014000,0,0,1
327473,Golden Mile,houses,872.0,2900000,0,1,0
327708,Golden Mile,houses,2200.0,18000000,1,0,0
327742,Nagüeles,apartments,152.0,400000,0,0,1
327846,Golden Mile,apartments,120.0,1100000,1,0,0
327861,Golden Mile,apartments,174.0,750000,0,1,0
327916,Golden Mile,apartments,108.0,700000,0,0,1
327958,Nagüeles,houses,434.0,1595000,0,0,1
327963,Nagüeles,apartments,100.0,240000,0,1,0
327978,Nagüeles,houses,228.0,430000,0,1,0
327982,Golden Mile,apartments,68.0,415000,0,0,1
327987,Nagüeles,houses,285.0,725000,0,1,0
328002,Nagüeles,houses,542.0,2000000,0,0,1
328009,Golden Mile,apartments,162.0,550000,0,1,0
328047,Nagüeles,houses,200.0,325000,0,1,0
328059,Golden Mile,apartments,184.0,995000,0,0,1
329713,Nagüeles,houses,240.0,595000,0,1,0
330982,Nagüeles,apartments,150.0,730000,1,0,0
331782,Nagüeles,houses,370.0,1995000,1,0,0
332886,Nagüeles,houses,337.0,1295000,1,0,0
333257,Nagüeles,houses,910.0,2900000,0,0,1
333727,Golden Mile,apartments,154.0,630000,0,1,0
333736,Nagüeles,apartments,200.0,600000,0,0,1
333871,Nagüeles,apartments,150.0,385000,0,1,0
334069,Nagüeles,apartments,60.0,221000,1,0,0
334843,Nagüeles,apartments,199.0,550000,0,0,1
